Ticker,"Name
","Fund Asset Class Focus
","Fund Market Cap Focus
",Strategy,"Fund Industry Focus
","Fund Geographical Focus
","Maturity Band
","Fund Rating Class Focus
",Expense Ratio,Actively Managed?,,ARKK,ARK INNOVATION ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,0.75,Y
,,,,,,,,,,,,ESGV,VANGUARD ESG US STOCK ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,0.09,N
,,,,,,,,,,,,VEU,VANGUARD FTSE ALL-WORLD EX-U,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,0.08,N
,,,,,,,,,,,,VEA,VANGUARD FTSE DEVELOPED ETF,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,0.05,N
,,,,,,,,,,,,VWO,VANGUARD FTSE EMERGING MARKE,Equity,Broad Market,Blend,N.A.,International,N.A.,N.A.,0.08,N
,,,,,,,,,,,,VGK,VANGUARD FTSE EUROPE ETF,Equity,Large-cap,Blend,N.A.,European Region,N.A.,N.A.,0.11,N
,,,,,,,,,,,,VUG,VANGUARD GROWTH ETF,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,0.04,N
,,,,,,,,,,,,VHT,VANGUARD HEALTH CARE ETF,Equity,Broad Market,Blend,Health Care,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,VYM,VANGUARD HIGH DVD YIELD ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,0.06,N
,,,,,,,,,,,,VGT,VANGUARD INFO TECH ETF,Equity,Large-cap,Growth,Technology,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,VO,VANGUARD MID-CAP ETF,Equity,Mid-cap,Blend,N.A.,United States,N.A.,N.A.,0.04,N
,,,,,,,,,,,,VNQ,VANGUARD REAL ESTATE ETF,Equity,Broad Market,Blend,Real Estate,United States,N.A.,N.A.,0.12,N
,,,,,,,,,,,,VOO,VANGUARD S&P 500 ETF,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,0.03,N
,,,,,,,,,,,,VXUS,VANGUARD TOTAL INTL STOCK,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,0.07,N
,,,,,,,,,,,,VTI,VANGUARD TOTAL STOCK MKT ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,0.03,N
,,,,,,,,,,,,VTV,VANGUARD VALUE ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,0.04,N
,,,,,,,,,,,,FTSL,FIRST TRUST SENIOR LOAN FUND,Fixed Income,N.A.,Corporate,N.A.,Global,N.A.,High Yield,0.87,Y
